id,title,neighborhood,type,price_per_night,price_total_xaf,rating,reviews,occupancy_rate,monthly_revenue,superhost,source,scraped_at
REAL-001,LB Prestige — L'Excellence au Cœur de Kotto,Kotto,Appartement,,,,,,,False,real,2026-06-27T21:37:36.921715
REAL-002,Superhôte,Douala,Superhôte,,,4.88,,,,False,real,2026-06-27T21:37:37.004194
REAL-003,Appartement meublé 2 chambres,Douala,Appartement,14825.0,74123.0,4.4,,,,False,real,2026-06-27T21:37:56.119564
REAL-004,Coup de cœur voyageurs,Douala,Coup de cœur voyageurs,11545.0,57724.0,5.0,,,,False,real,2026-06-27T21:37:56.161407
REAL-005,Chambre haut standing 301,Douala,Appartement,23877.0,119384.0,,,,,False,real,2026-06-27T21:37:56.198919
REAL-006,Studio Cosy Bonapriso / 8 min Aéroport,Bonapriso,Appartement,37258.0,186292.0,4.84,,,,False,real,2026-06-27T21:37:56.240697
REAL-007,Coup de cœur voyageurs,Douala,Coup de cœur voyageurs,25582.0,127912.0,4.86,,,,False,real,2026-06-27T21:37:56.276909
REAL-008,Havre de sécurité,Douala,Appartement,37521.0,187604.0,,,,,False,real,2026-06-27T21:37:56.317280
REAL-009,Logpom – Maison française – Groupe électrogène,Logpom,Appartement,39095.0,195475.0,4.25,,,,False,real,2026-06-27T21:37:56.355787
REAL-010,Superhôte,Douala,Superhôte,49197.0,245984.0,4.67,,,,False,real,2026-06-27T21:37:56.399494
REAL-011,Appartements de luxe,Douala,Appartement,28993.0,144966.0,,,,,False,real,2026-06-27T21:37:56.439756
REAL-012,Coup de cœur voyageurs,Douala,Coup de cœur voyageurs,53264.0,266319.0,5.0,,,,False,real,2026-06-27T21:37:56.481721
REAL-013,Sublime appart Douala cinquième,Douala,Appartement,28731.0,143655.0,,,,,False,real,2026-06-27T21:37:56.517046
REAL-014,Coup de cœur voyageurs,Douala,Coup de cœur voyageurs,30043.0,150214.0,4.83,,,,False,real,2026-06-27T21:37:56.557265
REAL-015,Appart cosy au cœur de Bonapriso,Bonapriso,Appartement,29387.0,146934.0,4.58,,,,False,real,2026-06-27T21:37:56.603326
REAL-016,Superhôte,Douala,Superhôte,37521.0,187604.0,4.94,,,,False,real,2026-06-27T21:37:56.645021
REAL-017,"Superbe appartement meublé situé à Makepe, Douala",Makepe,Appartement,34635.0,173173.0,4.94,,,,False,real,2026-06-27T21:37:56.686006
REAL-018,"Appartement ALINE: chic et glamour, Makepe Douala",Makepe,Appartement,45261.0,226305.0,5.0,,,,False,real,2026-06-27T21:37:56.730751
REAL-019,Studio meublé haut standing Bonamoussadi,Douala,Appartement,30043.0,150214.0,5.0,,,,False,real,2026-06-27T21:37:56.772233
REAL-020,Studio 2 personnes - Résidence Nomalo,Douala,Appartement en résidence,11151.0,55756.0,4.14,,,,False,real,2026-06-27T21:37:56.820247
REAL-021,Coup de cœur voyageurs,Douala,Coup de cœur voyageurs,26369.0,131847.0,4.88,,,,False,real,2026-06-27T21:38:11.290027
REAL-022,Appartement de 3 chambres prêt de Carrefour Market,Douala,Appartement,30043.0,150214.0,4.81,,,,False,real,2026-06-27T21:38:11.336982
REAL-023,Coup de cœur voyageurs,Douala,Coup de cœur voyageurs,30830.0,154150.0,4.97,,,,False,real,2026-06-27T21:38:11.388687
REAL-024,Emma Gold Bonapriso,Bonapriso,Appartement,72155.0,360776.0,4.91,,,,False,real,2026-06-27T21:38:11.469833
REAL-025,Superhôte,Douala,Superhôte,44736.0,223681.0,4.83,,,,False,real,2026-06-27T21:38:11.534159
REAL-026,Maison traditionnelle africaine,Douala,Appartement,40013.0,200067.0,4.82,,,,False,real,2026-06-27T21:38:11.622699
REAL-027,"Appartement luxueux, Douala (Bonamoussadi - Kotto)",Kotto,Appartement,42768.0,213842.0,4.65,,,,False,real,2026-06-27T21:38:11.703356
REAL-028,Appartement Meublé Makepe Bloc L,Makepe,Appartement,40407.0,202035.0,,,,,False,real,2026-06-27T21:38:11.777393
REAL-029,MAISON d'ANDRÉ H2 Aptment Meuble Bonamoussadi DENVER,Douala,Appartement,31486.0,157430.0,4.36,,,,False,real,2026-06-27T21:38:11.818515
REAL-030,Refuge | Paix | Sérénité,Douala,Appartement,20466.0,102329.0,,,,,False,real,2026-06-27T21:38:11.870878
REAL-031,Aud’Meublé Logpom,Logpom,Appartement,25845.0,129224.0,4.0,,,,False,real,2026-06-27T21:38:11.908257
REAL-032,"Villa Magnum : Studio Haut Standing, Makepe",Makepe,Appartement,60348.0,301740.0,,,,,False,real,2026-06-27T21:38:11.998133
REAL-033,Studio prêt de carrefour Market,Douala,Appartement,20466.0,102329.0,4.74,,,,False,real,2026-06-27T21:38:12.039526
REAL-034,Superhôte,Douala,Superhôte,32273.0,161365.0,4.0,,,,False,real,2026-06-27T21:38:26.431954
REAL-035,Denver | Groupe Electrogène | Parking | Wifi,Bonamoussadi,Appartement,28075.0,140375.0,,,,,False,real,2026-06-27T21:38:26.481366
REAL-036,Coup de cœur voyageurs,Douala,Coup de cœur voyageurs,26632.0,133159.0,4.86,,,,False,real,2026-06-27T21:38:26.529867
REAL-037,Appartement T2 meublé Logpom-Andem,Logpom,Appartement,22958.0,114792.0,4.3,,,,False,real,2026-06-27T21:38:26.579628
REAL-038,Appart Premium authentique A4 /5 min de l’aéroport,Douala,Appartement en résidence,61398.0,306988.0,4.65,,,,False,real,2026-06-27T21:38:26.634280
REAL-039,Coup de cœur voyageurs,Douala,Coup de cœur voyageurs,26107.0,130535.0,4.9,,,,False,real,2026-06-27T21:38:26.688929
REAL-040,Chic à l’hôtel de l’Air/Starlink/Group électrogène,Douala,Appartement,33060.0,165301.0,4.67,,,,False,real,2026-06-27T21:38:26.785172
REAL-041,Coup de cœur voyageurs,Douala,Coup de cœur voyageurs,26763.0,133815.0,4.91,,,,False,real,2026-06-27T21:38:26.831746
REAL-042,Maison africaine VIP 1. Studio-Piscine,Douala,Appartement,38439.0,192195.0,4.73,,,,False,real,2026-06-27T21:38:26.879279
REAL-043,Superhôte,Douala,Superhôte,30830.0,154150.0,4.85,,,,False,real,2026-06-27T21:38:26.925633
REAL-044,Loft en marbre Bonapriso | Starlink + espace de travail,Bonapriso,Villa,46442.0,232209.0,,,,,False,real,2026-06-27T21:38:26.972450
REAL-045,Studio VIP - Bonamoussadi - groupe électrogène.,Douala,Appartement,29387.0,146934.0,4.92,,,,False,real,2026-06-27T21:38:27.166203
REAL-046,Buani Logement Appartement T2 haut standing,Douala,Appartement,38833.0,194163.0,,,,,False,real,2026-06-27T21:38:27.213961
REAL-047,Superhôte,Douala,Superhôte,40932.0,204659.0,4.81,,,,False,real,2026-06-27T21:38:27.259476
REAL-048,Appartement moderne pratique et lumineux,Douala,Appartement,20991.0,104953.0,,,,,False,real,2026-06-27T21:38:27.309727
REAL-049,Superhôte,Douala,Superhôte,24926.0,124632.0,,,,,False,real,2026-06-27T21:38:27.355456
REAL-050,La maison de Kviar,Douala,Appartement en résidence,29518.0,147590.0,4.78,,,,False,real,2026-06-27T21:38:41.884919
REAL-051,Appartement neuf sécurisé proche aéroport,Douala,Appartement,13644.0,68220.0,,,,,False,real,2026-06-27T21:38:41.926222
REAL-052,Grand appartement neuf sécurisé proche aéroport,Douala,Appartement,13644.0,68220.0,,,,,False,real,2026-06-27T21:38:41.980669
REAL-053,Superhôte,Douala,Superhôte,30043.0,150214.0,,,,,False,real,2026-06-27T21:38:42.080420
REAL-054,Coup de cœur voyageurs,Douala,Coups de cœur voyageurs les plus appréciés,43818.0,219090.0,5.0,,,,False,real,2026-06-27T21:38:42.125740
REAL-055,"Zebra House, 2Ch, B'ssadi, Internet Satellite",Douala,Hébergement,30699.0,153494.0,4.82,,,,False,real,2026-06-27T21:38:42.184190
REAL-056,Appartement situé en plein cœur du centre,Douala,Appartement,44605.0,223025.0,4.13,,,,False,real,2026-06-27T21:38:42.226568
REAL-057,Superhôte,Douala,Superhôte,34635.0,173173.0,4.94,,,,False,real,2026-06-27T21:38:42.267189
REAL-058,Superhôte,Douala,Superhôte,35290.0,176452.0,5.0,,,,False,real,2026-06-27T21:38:42.316886
REAL-059,Appartement meublé 3 chambres haut-standing À SADI,Douala,Appartement,54707.0,273534.0,,,,,False,real,2026-06-27T21:38:42.420405
REAL-060,Appartement meublé Haut Standing Bonamoussadi,Douala,Appartement,36602.0,183012.0,4.55,,,,False,real,2026-06-27T21:38:42.463367
REAL-061,Superhôte,Douala,Superhôte,19679.0,98394.0,4.86,,,,False,real,2026-06-27T21:38:42.517189
REAL-062,Suite Business Bonapriso | Énergie 24/7 & Sécurité,Bonapriso,Appartement en résidence,49328.0,246640.0,4.57,,,,False,real,2026-06-27T21:38:42.562373
REAL-063,Emma Gold,Douala,Appartement,43424.0,217122.0,,,,,False,real,2026-06-27T21:38:42.610244
REAL-064,Appartement 3 chambres prêt de Carrefour Market,Douala,Appartement,31486.0,157430.0,4.78,,,,False,real,2026-06-27T21:38:42.652857
REAL-065,"Suite Batanga Luxe, Wi-Fi et climatisation à Douala•Sécurité",Douala,Appartement,27419.0,137095.0,,,,,False,real,2026-06-27T21:38:57.017617
REAL-066,Superhôte,Douala,Superhôte,43031.0,215154.0,4.82,,,,False,real,2026-06-27T21:38:57.074315
REAL-067,Suite Sahara sécurisée•Clim Groupe WF•Bonamoussadi,Douala,Appartement,24926.0,124632.0,4.75,,,,False,real,2026-06-27T21:38:57.123967
REAL-068,Coup de cœur voyageurs,Douala,Coup de cœur voyageurs,38439.0,192195.0,5.0,,,,False,real,2026-06-27T21:38:57.174791
REAL-069,Studio Vip Douala Bonamoussadi Sainte-Lucie,Douala,Appartement,23090.0,115448.0,,,,,False,real,2026-06-27T21:38:57.212590
REAL-070,Coup de cœur voyageurs,Douala,Coup de cœur voyageurs,26894.0,134471.0,4.86,,,,False,real,2026-06-27T21:38:57.263335
REAL-071,Superhôte,Douala,Superhôte,28469.0,142343.0,4.8,,,,False,real,2026-06-27T21:38:57.313896
REAL-072,studio comme à la maison,Douala,Appartement,20466.0,102329.0,,,,,False,real,2026-06-27T21:38:57.420837
REAL-073,Coup de cœur voyageurs,Douala,Coup de cœur voyageurs,36209.0,181044.0,5.0,,,,False,real,2026-06-27T21:38:57.528843
REAL-074,Coup de cœur voyageurs,Douala,Coup de cœur voyageurs,35290.0,176452.0,5.0,,,,False,real,2026-06-27T21:38:57.598905
REAL-075,Appartement sécurisé • Netflix/IPTV • Wi-Fi Starlink,Douala,Appartement,27157.0,135783.0,,,,,False,real,2026-06-27T21:38:57.708803
REAL-076,Chambre Haut Standing-Makepe | Cuisine | WiFi,Makepe,Appartement,18498.0,92490.0,,,,,False,real,2026-06-27T21:38:57.765289
REAL-077,Coup de cœur voyageurs,Douala,Coup de cœur voyageurs,27550.0,137751.0,4.86,,,,False,real,2026-06-27T21:38:57.813184
REAL-078,Superhôte,Douala,Superhôte,40013.0,200067.0,4.8,,,,False,real,2026-06-27T21:38:57.857752
REAL-079,Superhôte,Douala,Superhôte,27288.0,136439.0,4.67,,,,False,real,2026-06-27T21:38:57.909595
REAL-080,Appartement Chic - Confort + Sécurité Centre Ville,Douala,Appartement,38177.0,190883.0,4.6,,,,False,real,2026-06-27T21:38:57.962037
REAL-081,Coup de cœur voyageurs,Douala,Coup de cœur voyageurs,23090.0,115448.0,4.86,,,,False,real,2026-06-27T21:39:12.424388
REAL-082,Suite Premium Bonapriso | Énergie 24/7 & Sécurité,Bonapriso,Appartement en résidence,49328.0,246640.0,4.6,,,,False,real,2026-06-27T21:39:12.663654
REAL-083,"Studio Moderne et Chic. Parking securisé, Wifi",Douala,Appartement,22958.0,114792.0,4.6,,,,False,real,2026-06-27T21:39:12.705036
REAL-084,Appartements meublés T2 Haut Standing à PK12,Douala,Appartement,18498.0,92490.0,,,,,False,real,2026-06-27T21:39:12.958242
REAL-085,Chambre moderne - Résidence Nomalo,Douala,Appartement en résidence,8790.0,43949.0,4.42,,,,False,real,2026-06-27T21:39:13.211646
REAL-086,Appart cosy au cœur de Bonapriso,Bonapriso,Appartement,29387.0,146934.0,4.58,,,,False,real,2026-06-27T21:39:13.265471
REAL-087,Superhôte,Douala,Superhôte,14562.0,72811.0,4.29,,,,False,real,2026-06-27T21:39:13.311214
REAL-088,Coup de cœur voyageurs,Douala,Coup de cœur voyageurs,15349.0,76747.0,5.0,,,,False,real,2026-06-27T21:39:13.411837
REAL-089,Bellevue appartement meublé Douala situé à Yassa,Douala,Appartement,19810.0,99050.0,5.0,,,,False,real,2026-06-27T21:39:13.451835
REAL-090,Studio meublé à Bonamoussadi,Douala,Appartement,29256.0,146278.0,4.6,,,,False,real,2026-06-27T21:39:13.538349
REAL-091,"Zebra Studio Bonamoussadi, Internet par satellite",Douala,Appartement,19285.0,96426.0,4.73,,,,False,real,2026-06-27T21:39:13.719543
REAL-092,Coup de cœur voyageurs,Douala,Coup de cœur voyageurs,19941.0,99705.0,5.0,,,,False,real,2026-06-27T21:39:13.772633
REAL-093,Superhôte,Douala,Superhôte,16399.0,81995.0,4.43,,,,False,real,2026-06-27T21:39:14.038154
REAL-094,Grand Appartement neuf sécurisé proche de tout,Douala,Appartement,13644.0,68220.0,,,,,False,real,2026-06-27T21:39:14.089946
REAL-095,Dors comme chez toi,Douala,Appartement,27288.0,136439.0,4.33,,,,False,real,2026-06-27T21:39:14.140579
REAL-096,Chez Maman Suzanne,Douala,Appartement,,,4.67,,,,False,real,2026-06-27T21:39:32.080597
REAL-097,Studio moderne et chaleureux avec escalier design.,Douala,Appartement,19416.0,97082.0,,,,,False,real,2026-06-27T21:39:32.126234
REAL-098,Studio Meublé Bonamoussadi 4é,Douala,Appartement,,,,,,,False,real,2026-06-27T21:39:32.168949
REAL-099,D-Place Makepe,Makepe,Appartement,,,4.67,,,,False,real,2026-06-27T21:39:32.215752
REAL-100,Grand appartement neuf sécurisé proche aéroport,Douala,Appartement,20466.0,102329.0,,,,,False,real,2026-06-27T21:39:32.257477
REAL-101,Studio THREESTAR,Douala,Appartement,,,4.53,,,,False,real,2026-06-27T21:39:32.302155
REAL-102,Appartement meublè à BP Cité - Douala,Douala,Appartement,15218.0,76091.0,,,,,False,real,2026-06-27T21:39:32.343256
REAL-103,Groupe + Clim + WiFi + Gardien + 1 chambre | Kotto,Kotto,Appartement,31092.0,155462.0,,,,,False,real,2026-06-27T21:39:32.384033
REAL-104,F3 Bordeaux moderne et calme à Kotto Baden Baden,Kotto,Appartement,,,4.58,,,,False,real,2026-06-27T21:39:32.431751
REAL-105,Superhôte,Douala,Superhôte,23090.0,115448.0,4.5,,,,False,real,2026-06-27T21:39:32.477087
REAL-106,Les meublés de Line Kimora,Douala,Appartement,,,,,,,False,real,2026-06-27T21:39:32.577896
REAL-107,"Bali 1 - WIFI, IPTV, Parking et Gardien 24h/24",Bali,Appartement,,,4.38,,,,False,real,2026-06-27T21:39:32.616662
REAL-108,HomeMade - HM- Séjours en famille,Douala,Appartement,15349.0,76747.0,4.71,,,,False,real,2026-06-27T21:39:32.721909
REAL-109,"Appartement - Douala, Logpom",Logpom,Appartement,,,,,,,False,real,2026-06-27T21:39:32.775517
REAL-110,Monmeublé 237,Douala,Appartement,8134.0,40669.0,4.88,,,,False,real,2026-06-27T21:39:32.820030
REAL-111,Cartan HOUSE,Douala,Appartement,18498.0,92490.0,4.6,,,,False,real,2026-06-27T21:39:47.314578
REAL-112,"Studio meublé à bas prix (Salon, chambre, douche)",Douala,Appartement en résidence,9183.0,45917.0,4.64,,,,False,real,2026-06-27T21:39:47.360745
REAL-113,Coup de cœur voyageurs,Douala,Coup de cœur voyageurs,18498.0,92490.0,4.89,,,,False,real,2026-06-27T21:39:47.497985
REAL-114,Apt 1 Ch Meublé Cosy - Makepe - Groupe Électrogène,Makepe,Appartement,33060.0,165301.0,5.0,,,,False,real,2026-06-27T21:39:47.542235
REAL-115,Luxury Appart meublé Américain,Douala,Appartement,22565.0,112825.0,4.57,,,,False,real,2026-06-27T21:39:47.586708
REAL-116,Studio agréable et simple à Bonamoussadi,Douala,Appartement,15743.0,78715.0,,,,,False,real,2026-06-27T21:39:47.631287
REAL-117,Superhôte,Douala,Superhôte,23877.0,119384.0,4.78,,,,False,real,2026-06-27T21:39:47.671812
REAL-118,Coup de cœur voyageurs,Douala,Coup de cœur voyageurs,26501.0,132503.0,4.8,,,,False,real,2026-06-27T21:39:47.716901
REAL-119,F3 bleu moderne et calme à Kotto Baden Baden,Kotto,Appartement,16924.0,84618.0,4.39,,,,False,real,2026-06-27T21:39:47.762739
REAL-120,Coup de cœur voyageurs,Douala,Coup de cœur voyageurs,13119.0,65596.0,4.85,,,,False,real,2026-06-27T21:39:47.811116
REAL-121,studio meublé haut Standing à Douala Logpom.,Logpom,Appartement,22958.0,114792.0,,,,,False,real,2026-06-27T21:39:47.864822
REAL-122,Studio meublé: Central et Chic,Douala,Appartement,22958.0,114792.0,4.5,,,,False,real,2026-06-27T21:39:47.961603
REAL-123,Le PCL selfie Wi-Fi Starlink HD,Douala,Appartement,11545.0,57724.0,4.71,,,,False,real,2026-06-27T21:39:48.040895
REAL-124,Chambre / À 8 min Aéroport de Douala,Douala,Chambre,16137.0,80683.0,4.5,,,,False,real,2026-06-27T21:39:48.094925
REAL-125,meublé à koto wifi+ électricité gratuit,Douala,Appartement,15349.0,76747.0,3.89,,,,False,real,2026-06-27T21:39:48.144437
REAL-126,"Charmant,bien localisé et lumineux Appartement F2R",Douala,Appartement en résidence,14431.0,72155.0,4.67,,,,False,real,2026-06-27T21:40:02.521298
REAL-127,Face Nal Studio S2 Climatisé,Douala,Appartement,10495.0,52477.0,,,,,False,real,2026-06-27T21:40:02.561730
REAL-128,Studio confortable dans un quartier paisible,Douala,Appartement,13644.0,68220.0,4.4,,,,False,real,2026-06-27T21:40:02.606903
REAL-129,Superhôte,Douala,Superhôte,10102.0,50509.0,,,,,False,real,2026-06-27T21:40:02.647815
REAL-130,"Chambre charmante, bien localisée et lumineuse F1R",Douala,Maison d'hôtes,9839.0,49197.0,4.43,,,,False,real,2026-06-27T21:40:02.689182
REAL-131,Coup de cœur voyageurs,Douala,Coup de cœur voyageurs,24664.0,123320.0,4.74,,,,False,real,2026-06-27T21:40:02.725236
REAL-132,Chambre privée avec cuisine à Bonamoussadi (Kotto),Kotto,Appartement,20335.0,101673.0,4.53,,,,False,real,2026-06-27T21:40:02.764508
REAL-133,F3 marron moderne et calme à Kotto Baden Baden,Kotto,Appartement,16924.0,84618.0,4.62,,,,False,real,2026-06-27T21:40:02.839925
REAL-134,Makepe BM- Appart Chic,Makepe,Appartement,27025.0,135127.0,4.59,,,,False,real,2026-06-27T21:40:02.899916
REAL-135,"Charmant,bien localisé et lumineux Appartement F2H",Douala,Appartement,15087.0,75435.0,4.23,,,,False,real,2026-06-27T21:40:02.943935
REAL-136,"Studio B2 B'sadi Santa Lucia, Wifi, câble, gardien",Douala,Appartement,16005.0,80027.0,,,,,False,real,2026-06-27T21:40:02.987763
REAL-137,Studio sobre.,Douala,Appartement,11676.0,58380.0,,,,,False,real,2026-06-27T21:40:03.031090
REAL-138,"Bali 2 - WIFI, IPTV, Parking et Gardien 24h/24h",Bali,Appartement,15349.0,76747.0,4.67,,,,False,real,2026-06-27T21:40:03.075854
REAL-139,Nid-douillet,Douala,Appartement,31880.0,159398.0,,,,,False,real,2026-06-27T21:40:03.122352
REAL-140,Appartement entier - Douala,Douala,Appartement,44605.0,223025.0,4.33,,,,False,real,2026-06-27T21:40:03.164548
REAL-141,Studio meublé VIP- à Douala (Bonamoussadi - Kotto),Kotto,Appartement,19679.0,98394.0,4.53,,,,False,real,2026-06-27T21:40:03.207354
REAL-142,"Chambre Moderne (Kotto - Bonamoussadi), Wifi",Kotto,Appartement,17055.0,85274.0,4.53,,,,False,real,2026-06-27T21:40:03.252108
REAL-143,Chambre meublée The penthouse,Douala,Chambre d'hôtes,10495.0,52477.0,,,,,False,real,2026-06-27T21:40:03.296836
REAL-144,Appartement 4 pers - 2 chambres - Résidence Nomalo,Douala,Appartement en résidence,13775.0,68875.0,4.13,,,,False,real,2026-06-27T21:40:17.687193
REAL-145,La tanière - Bonapriso,Bonapriso,Appartement,28206.0,141031.0,4.83,,,,False,real,2026-06-27T21:40:17.793415
REAL-146,"Chez FG Home, vous êtes chez vous, dans la paix",Douala,Hébergement,16399.0,81995.0,,,,,False,real,2026-06-27T21:40:17.840480
REAL-147,Superhôte,Douala,Superhôte,31880.0,159398.0,4.85,,,,False,real,2026-06-27T21:40:17.889783
REAL-148,1 Ch Meublé Cosy - Makepe - Groupe Électrogène,Makepe,Appartement,24664.0,123320.0,,,,,False,real,2026-06-27T21:40:17.937299
